transaction_id,customer_name,product,amount,date
792,James Gonzalez,painting,2957,2025-01-16
5402,Joshua Shaw,nice,1073,2025-02-15
8252,Michele Wagner,final,2984,2025-01-10
5591,Christina Anderson,pretty,2469,2025-02-13
6460,Scott Avila,site,5810,2025-01-09
870,Alice Coffey,wish,511,2025-02-10
187,Christopher Jackson,price,2365,2025-01-31
4213,Anthony Perry,how,3899,2025-02-08
5181,Sara Rollins,two,4108,2025-01-30
7206,Theresa Brown,or,9437,2025-01-26
5143,Lisa Peck,cost,202,2025-02-20
8092,Michael Johnson,entire,1529,2025-01-22
5387,Gary Rodriguez,collection,7739,2025-01-28
4516,Brandy Estrada,reveal,9147,2025-01-15
1942,Kyle Johnson,participant,6219,2025-01-28
6167,Amber Curry,suggest,6158,2025-02-11
2620,Heather Huffman,child,4570,2025-01-09
5048,David Richardson,kind,6420,2025-01-14
1448,Melissa Bell,cut,5130,2025-01-11
1202,Andrea Montgomery,be,1411,2025-01-14
1476,David Stewart,minute,3941,2025-02-20
491,Ryan Pace,feel,6853,2025-02-03
7476,Daniel Foster,shoulder,3047,2025-01-12
6078,Jorge Jones,campaign,1876,2025-01-25
8667,Elizabeth Bradley,beautiful,7505,2025-02-14
2124,Duane Banks,fire,5874,2025-01-04
7089,Mr. Michael White,white,4924,2025-01-28
8715,Laura Ayala,rather,664,2025-02-14
4546,Sylvia Lewis,brother,7140,2025-02-16
3471,Andrew Drake,religious,9373,2025-01-27
2676,Jonathan French,well,8961,2025-02-16
5703,Gina Jones,me,6443,2025-01-06
1649,Angela Hale,give,5032,2025-02-10
7250,Sherry Macias,tough,5829,2025-02-11
1405,Austin Glenn,age,7635,2025-01-09
5512,Gary Smith,land,9992,2025-02-06
478,Victoria Duncan,week,7977,2025-02-11
3867,Jeffrey Santiago,individual,1636,2025-01-08
5647,Catherine Woods,magazine,8682,2025-02-08
4868,Jody Campbell,education,907,2025-01-26
5090,Laura Baird,key,8124,2025-01-19
3915,Courtney Mitchell,order,3378,2025-02-19
6833,Tyler Mitchell,your,399,2025-02-02
9668,Abigail Cruz,produce,4889,2025-02-11
1944,Sarah Williams,on,390,2025-02-12
7549,Todd Peterson,whose,9679,2025-02-06
8671,Stephen Fisher,question,5875,2025-02-18
2670,John Johnson,again,7705,2025-02-11
7278,Jimmy Simmons,read,2376,2025-02-12
4335,Joan Roach,himself,5068,2025-01-25
3662,Kelsey Johnson,every,9000,2025-01-27
1011,Nathan Garrett,continue,5738,2025-02-07
6869,Zachary Stark,eye,3246,2025-01-20
6175,Carol Sullivan,seven,9630,2025-01-03
5426,Cameron Duffy,turn,4821,2025-01-10
5370,Kristopher Ray,fund,6094,2025-01-22
4513,Brett Campbell,apply,944,2025-01-13
2433,Rebecca Douglas,environment,5370,2025-01-11
2752,Jennifer Miller,mind,7085,2025-01-08
8225,Kevin Williams,TV,6138,2025-01-25
9989,Colin Walker,lot,7058,2025-02-01
963,Patrick Jones,place,2764,2025-01-18
1413,Kristine Jackson,mention,5598,2025-01-30
9764,Anthony Edwards,candidate,3299,2025-01-25
